,sea_ice_melt_mean,sea_ice_melt_std_dev,sea_ice_melt_trend,meteoric_mean,meteoric_std_dev,meteoric_trend,net_liquid_freshwater_mean,net_liquid_freshwater_std_dev,net_liquid_freshwater_trend
39,1789.0087686311078,553.7014641404242,1805.9632655331477,3143.5513595234,631.7139010085905,3157.162310550259,4932.560128154508,1185.4153651490146,4963.125576083407
40,1777.0830062454309,566.0327430407694,1804.9847090070068,3121.4647365042983,646.8913074965891,3156.721908967059,4898.547742749729,1212.9240505373587,4961.706617974066
41,1700.1679641407773,638.9560648133165,1804.006152480866,2981.7690669071585,798.0734799293841,3156.2815073838583,4681.937031047935,1437.0295447427006,4960.287659864724
42,1708.4659040731196,645.76338030067,1803.027595954725,2995.790637267721,812.9323789161776,3155.841105800658,4704.256541340841,1458.6957592168476,4958.868701755383
43,1702.5116503893153,640.5810616296078,1802.0490394285844,2983.8910726737263,802.6993784428595,3155.4007042174576,4686.402723063042,1443.2804400724672,4957.449743646042
44,1651.991757958405,591.2331525760654,1801.0704829024435,2907.2359310443276,742.1518680022526,3154.9603026342575,4559.227689002732,1333.385020578318,4956.030785536701
45,1620.4055927191293,542.5770487470631,1800.0919263763026,2859.675214192182,675.483046391853,3154.519901051057,4480.080806911312,1218.060095138916,4954.6118274273595
46,1600.2772834466496,528.8873128439251,1799.1133698501617,2828.454697743335,662.6808702786899,3154.0794994678567,4428.731981189985,1191.568183122615,4953.192869318018
47,1584.0903805213577,526.9601821523404,1798.1348133240208,2800.6327383262956,665.4460621821457,3153.639097884656,4384.7231188476535,1192.406244334486,4951.773911208677
48,1595.4691621120637,527.2514836343261,1797.15625679788,2822.5494747464218,665.0047404436827,3153.198696301456,4418.0186368584855,1192.256224078009,4950.354953099336
49,1621.0040694538818,520.4018488932288,1796.177700271739,2882.215986130952,660.0159942123382,3152.7582947182555,4503.220055584834,1180.417843105567,4948.9359949899945
50,1627.0912973804732,515.843962815583,1795.1991437455981,2903.3654678414655,657.4692178102924,3152.3178931350553,4530.456765221938,1173.3131806258755,4947.517036880654
51,1644.7858670679973,493.8880616406708,1794.2205872194572,2952.5702377970024,614.978082687032,3151.8774915518547,4597.356104865,1108.8661443277028,4946.098078771312
52,1672.1583713494736,473.4203948255271,1793.2420306933163,2988.270466071088,603.5197483214063,3151.4370899686546,4660.428837420562,1076.9401431469335,4944.679120661971
53,1724.1340489907568,391.6632679596397,1792.2634741671757,3078.4514381152585,415.83939979149994,3150.996688385454,4802.5854871060155,807.5026677511396,4943.2601625526295
54,1630.4573622289001,381.55526679564355,1791.2849176410348,2920.051821418896,424.5603394378628,3150.556286802254,4550.509183647796,806.1156062335064,4941.841204443289
55,1574.9295341996076,336.10760895794476,1790.306361114894,2828.2661797081764,381.6991189868135,3150.1158852190533,4403.195713907784,717.8067279447582,4940.422246333947
56,1600.3342005717677,374.74415584981307,1789.327804588753,2862.1614995885498,420.07710543012035,3149.675483635853,4462.495700160318,794.8212612799334,4939.003288224606
57,1612.912479274338,400.3457739841681,1788.349248062612,2877.3152591352828,448.4426598900119,3149.2350820526526,4490.2277384096205,848.78843387418,4937.5843301152645
58,1640.595625929542,426.6746060423277,1787.3706915364712,2917.7459647959986,472.68515463559555,3148.7946804694525,4558.34159072554,899.3597606779233,4936.165372005924
59,1664.2032707839971,429.2760516697382,1786.3921350103303,2953.4088427235893,462.0026603625826,3148.354278886252,4617.612113507586,891.2787120323208,4934.746413896582
60,1652.053524532439,430.95622673504107,1785.4135784841894,2928.6521445793624,470.49163558985646,3147.913877303052,4580.705669111801,901.4478623248975,4933.327455787241
61,1636.815221839741,435.0011743568409,1784.4350219580485,2889.4138801687313,469.6129311521655,3147.473475719851,4526.229102008472,904.6141055090064,4931.9084976779
62,1631.8597093966403,439.4379314917399,1783.4564654319079,2877.822107697939,469.92890965823443,3147.033074136651,4509.681817094579,909.3668411499743,4930.489539568559
63,1629.8422791820303,441.8521037015277,1782.477908905767,2864.2382696561767,477.9186455990928,3146.5926725534505,4494.080548838207,919.7707493006205,4929.0705814592175
64,1591.5149195470601,473.6352297742499,1781.499352379626,2779.3327807580677,535.2621261054009,3146.1522709702504,4370.847700305128,1008.8973558796508,4927.651623349876
65,1604.2008342208728,468.46105544970936,1780.5207958534852,2792.925917422266,530.3934289654103,3145.71186938705,4397.126751643139,998.8544844151197,4926.232665240535
66,1661.9051930473754,452.1803387329828,1779.5422393273443,2881.6063906545255,481.4054045849172,3145.2714678038496,4543.511583701901,933.5857433179001,4924.813707131194
67,1703.3493508753209,463.8758866857357,1778.5636828012034,2944.3230942347595,478.14134941652674,3144.831066220649,4647.67244511008,942.0172361022624,4923.3947490218525
68,1691.5729512234377,450.6776183391098,1777.5851262750625,2922.0597289580487,457.403508825905,3144.390664637449,4613.632680181487,908.0811271650148,4921.975790912511
69,1661.9092771116693,408.11082008546094,1776.6065697489216,2871.405708028779,388.8204110857368,3143.9502630542484,4533.314985140449,796.9312311711977,4920.55683280317
70,1636.8530172499695,383.65378720626865,1775.6280132227807,2828.189126946669,353.03147120224855,3143.509861471048,4465.042144196639,736.6852584085173,4919.137874693829
71,1611.9370292128215,379.2568819813425,1774.6494566966398,2786.3652020912796,358.74932916254386,3143.0694598878476,4398.302231304101,738.0062111438863,4917.7189165844875
72,1607.5280578506927,380.5385754147596,1773.6709001704992,2778.4485283801982,363.0769299060697,3142.6290583046475,4385.9765862308905,743.6155053208292,4916.299958475147
73,1587.7654753128184,394.7195713224501,1772.6923436443583,2745.4746365845917,387.30481590725805,3142.188656721447,4333.24011189741,782.0243872297082,4914.881000365805
74,1587.8347321546178,394.6539039968512,1771.7137871182174,2728.0714551305623,389.09490525494465,3141.748255138247,4315.90618728518,783.7488092517958,4913.462042256464
75,1558.944100429224,440.0171135163259,1770.7352305920765,2653.574216807051,494.7919346259337,3141.307853555046,4212.518317236275,934.8090481422596,4912.0430841471225
76,1540.6475916851878,466.5936118707241,1769.7566740659356,2631.248665770177,529.919511920751,3140.867451971846,4171.896257455364,996.5131237914751,4910.624126037782
77,1530.8231851226765,468.96337620873356,1768.7781175397947,2621.183501136882,530.1049255968995,3140.4270503886455,4152.006686259559,999.0683018056332,4909.2051679284405
78,1540.9105078754426,476.9415083954973,1767.7995610136538,2640.6540284546577,550.8475946602589,3139.9866488054454,4181.5645363301,1027.7891030557562,4907.786209819099
79,1576.7522424889469,528.0658457368063,1766.821004487513,2698.742584555211,642.653105207555,3139.546247222245,4275.494827044158,1170.7189509443613,4906.3672517097575
80,1574.4491161422393,525.6621463178717,1765.842447961372,2698.486484076527,642.4397979278294,3139.1058456390447,4272.935600218767,1168.1019442457011,4904.948293600417
