time,monthly_diff,monthly_trend,annual_mean,annual_trend
2013-01-01,-23885.07,-26803.02988641923,,
2013-02-01,-20064.527,-26807.587714317327,,
2013-03-01,-7484.8086,-26812.14554221544,,
2013-04-01,-6332.959,-26816.703370113522,,
2013-05-01,-3351.5996,-26821.26119801162,,
2013-06-01,-67311.16,-26825.819025909732,,
2013-07-01,-55195.605,-26830.37685380783,,
2013-08-01,-48710.246,-26834.934681705927,,
2013-09-01,-32734.816,-26839.492509604024,,
2013-10-01,-35076.477,-26844.05033750212,,
2013-11-01,-39674.36,-26848.60816540022,,
2013-12-01,-17696.838,-26853.16599329833,,
2013-12-31,,,-29793.205,-26519.008065941223
2014-01-01,-21848.13,-26857.72382119643,,
2014-02-01,-14886.485,-26862.28164909451,,
2014-03-01,-10278.381,-26866.839476992624,,
2014-04-01,-5934.2485,-26871.39730489072,,
2014-05-01,-24620.701,-26875.95513278882,,
2014-06-01,-75424.78,-26880.512960686916,,
2014-07-01,-64458.504,-26885.070788585013,,
2014-08-01,-61599.047,-26889.62861648311,,
2014-09-01,-50544.207,-26894.186444381223,,
2014-10-01,-28276.451,-26898.74427227932,,
2014-11-01,-5293.3496,-26903.302100177418,,
2014-12-01,-33161.082,-26907.859928075515,,
2014-12-31,,,-33027.113,-26531.548577008933
2015-01-01,-14903.758,-26912.417755973613,,
2015-02-01,-3541.9463,-26916.97558387171,,
2015-03-01,-4629.933,-26921.533411769822,,
2015-04-01,-5948.6543,-26926.091239667905,,
2015-05-01,-20337.23,-26930.649067566002,,
2015-06-01,-67976.414,-26935.206895464114,,
2015-07-01,-88738.02,-26939.764723362212,,
2015-08-01,-41515.43,-26944.32255126031,,
2015-09-01,-33225.742,-26948.880379158407,,
2015-10-01,-43792.527,-26953.438207056504,,
2015-11-01,-14304.725,-26957.9960349546,,
2015-12-01,-28823.441,-26962.553862852714,,
2015-12-31,,,-30644.818,-26544.089088076642
2016-01-01,-12973.059,-26967.11169075081,,
2016-02-01,93.84448,-26971.669518648894,,
2016-03-01,-5172.3433,-26976.227346547006,,
2016-04-01,-8000.3364,-26980.785174445104,,
2016-05-01,-15534.4375,-26985.3430023432,,
2016-06-01,-44566.926,-26989.9008302413,,
2016-07-01,-53202.24,-26994.458658139396,,
2016-08-01,-46757.508,-26999.016486037493,,
2016-09-01,-5336.945,-27003.574313935605,,
2016-10-01,-61140.555,-27008.132141833703,,
2016-11-01,-5387.71,-27012.689969731786,,
2016-12-01,-7230.2866,-27017.247797629898,,
2016-12-31,,,-22100.709,-26556.62959914435
2017-01-01,7591.698,-27021.805625527995,,
2017-02-01,7619.327,-27026.363453426093,,
2017-03-01,9950.334,-27030.921281324205,,
2017-04-01,-956.4377,-27035.479109222288,,
2017-05-01,-49868.188,-27040.036937120385,,
2017-06-01,-67011.734,-27044.594765018497,,
2017-07-01,-49523.04,-27049.152592916595,,
2017-08-01,-38127.1,-27053.710420814692,,
2017-09-01,-7186.493,-27058.26824871279,,
2017-10-01,-19228.348,-27062.826076610887,,
2017-11-01,-32543.629,-27067.383904508984,,
2017-12-01,-20699.957,-27071.941732407096,,
2017-12-31,,,-21665.297,-26569.17011021206
2018-01-01,5430.9663,-27076.499560305194,,
2018-02-01,141.38086,-27081.057388203277,,
2018-03-01,4398.0933,-27085.61521610139,,
2018-04-01,-13828.937,-27090.173043999486,,
2018-05-01,-66394.305,-27094.730871897584,,
2018-06-01,-59904.977,-27099.28869979568,,
2018-07-01,-37013.434,-27103.84652769378,,
2018-08-01,-26147.453,-27108.404355591876,,
2018-09-01,-41835.02,-27112.962183489988,,
2018-10-01,-41819.73,-27117.520011388086,,
2018-11-01,-29042.186,-27122.07783928617,,
2018-12-01,-31761.059,-27126.63566718428,,
2018-12-31,,,-28148.055,-26581.71062127977
2019-01-01,-1492.2771,-27131.193495082378,,
2019-02-01,5315.695,-27135.751322980475,,
2019-03-01,-19966.559,-27140.309150878587,,
2019-04-01,-18270.904,-27144.86697877667,,
2019-05-01,-61865.72,-27149.424806674768,,
2019-06-01,-65697.76,-27153.98263457288,,
2019-07-01,-72044.38,-27158.540462470977,,
2019-08-01,-70266.016,-27163.098290369075,,
2019-09-01,-40605.062,-27167.656118267172,,
2019-10-01,-7821.256,-27172.21394616527,,
2019-11-01,-22714.988,-27176.771774063367,,
2019-12-01,1938.8564,-27181.32960196148,,
2019-12-31,,,-31124.197,-26594.25113234748
2020-01-01,-5106.377,-27185.887429859562,,
2020-02-01,387.2539,-27190.44525775766,,
2020-03-01,8607.273,-27195.00308565577,,
2020-04-01,2062.3528,-27199.56091355387,,
2020-05-01,-34166.816,-27204.118741451966,,
2020-06-01,-70071.78,-27208.676569350064,,
2020-07-01,-95892.02,-27213.23439724816,,
2020-08-01,-91893.73,-27217.79222514626,,
2020-09-01,-52906.72,-27222.35005304437,,
2020-10-01,-28951.555,-27226.90788094247,,
2020-11-01,-30823.623,-27231.46570884055,,
2020-12-01,-24645.02,-27236.023536738663,,
2020-12-31,,,-35283.4,-26606.79164341519
2021-01-01,-15830.994,-27240.58136463676,,
2021-02-01,-11025.624,-27245.139192534858,,
2021-03-01,3565.5046,-27249.697020432955,,
2021-04-01,1759.335,-27254.254848331053,,
2021-05-01,-16391.617,-27258.81267622915,,
2021-06-01,-68928.305,-27263.370504127262,,
2021-07-01,-61772.85,-27267.92833202536,,
2021-08-01,-49800.15,-27272.486159923457,,
2021-09-01,-29241.877,-27277.043987821555,,
2021-10-01,-44226.344,-27281.601815719652,,
2021-11-01,-35575.258,-27286.15964361775,,
2021-12-01,3235.7842,-27290.71747151586,,
2021-12-31,,,-27019.367,-26619.332154482898
2022-01-01,-7620.967,-27295.275299413945,,
2022-02-01,-5321.1016,-27299.833127312042,,
2022-03-01,-556.61084,-27304.390955210154,,
2022-04-01,9118.781,-27308.94878310825,,
2022-05-01,-18193.926,-27313.50661100635,,
2022-06-01,-92893.12,-27318.064438904446,,
2022-07-01,-57060.57,-27322.622266802544,,
2022-08-01,-54714.203,-27327.18009470064,,
2022-09-01,-45480.52,-27331.737922598753,,
2022-10-01,-48589.062,-27336.29575049685,,
2022-11-01,-69765.445,-27340.853578394934,,
2022-12-01,-29731.518,-27345.411406293046,,
2022-12-31,,,-35067.355,-26631.872665550607
2023-01-01,-15275.958,-27349.969234191143,,
2023-02-01,-4478.0,-27354.52706208924,,
2023-03-01,3700.7114,-27359.084889987338,,
2023-04-01,-2074.3555,-27363.642717885436,,
2023-05-01,-13249.433,-27368.200545783533,,
2023-06-01,-66567.016,-27372.758373681645,,
2023-07-01,-74631.19,-27377.316201579742,,
2023-08-01,-53667.26,-27381.87402947784,,
2023-09-01,-57353.938,-27386.431857375937,,
2023-10-01,-48013.766,-27390.989685274035,,
2023-11-01,-31121.191,-27395.547513172132,,
2023-12-01,-21537.426,-27400.105341070244,,
2023-12-31,,,-32022.4,-26644.413176618316
2024-01-01,3820.2249,-27404.663168968327,,
2024-02-01,-3301.0293,-27409.220996866425,,
2024-03-01,-850.6864,-27413.778824764537,,
2024-04-01,699.6245,-27418.336652662634,,
2024-05-01,-9843.037,-27422.89448056073,,
2024-06-01,-79647.336,-27427.45230845883,,
2024-07-01,-86186.51,-27432.010136356927,,
2024-08-01,-47759.805,-27436.567964255024,,
2024-09-01,-27790.654,-27441.125792153136,,
2024-10-01,-28849.352,-27445.683620051233,,
2024-11-01,-22968.85,-27450.241447949316,,
2024-12-01,-1029.9908,-27454.79927584743,,
2024-12-31,,,-25308.951,-26656.953687686026
2025-01-01,-4779.9404,-27459.357103745526,,
2025-02-01,-1813.1096,-27463.914931643623,,
2025-03-01,6517.382,-27468.47275954172,,
2025-04-01,1166.4458,-27473.03058743982,,
2025-05-01,9951.769,-27477.588415337916,,
2025-06-01,12872.098,-27482.146243236028,,
2025-07-01,-3875.042,-27486.704071134125,,
2025-08-01,29.813477,-27491.261899032208,,
2025-09-01,-57222.28,-27495.81972693032,,
2025-10-01,-31440.701,-27500.377554828417,,
2025-12-31,,,-6859.357,-26669.494198753735
